1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,Access to electricity (% of population),"Access to electricity, urban (% of urban population)",Renewable electricity output (% of total electricity output)
492.0,4.0,42.0,946.0,1.0,0.7,1.4,3.0,961.0,626.0,2.0,1.0,3.0,3.0,3.0,2.0,16.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,4.0,4.0,4.03,Latin America,Mexico,mexico-city-mexico,99.0,99.3000030517578,15.3941337927222
223.0,3.0,19.0,976.0,1.0,0.63,1.11,3.0,697.0,349.0,2.0,1.0,3.0,4.0,3.0,2.0,10.0,2.0,3.0,2.0,3.0,1.7537773516111237,0.0,0.0,2.0,3.0,4.0,4.0,4.51,Latin America,Mexico,cancun-mexico,99.0,99.3000030517578,15.3941337927222
367.0,2.0,54.0,2074.0,1.0,0.66,1.94,3.0,1072.0,512.0,1.0,1.0,1.0,2.0,3.0,2.0,16.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,3.54,Latin America,Mexico,tulum-mexico,99.0,99.3000030517578,15.3941337927222
369.0,2.0,53.0,1617.0,1.0,0.61,1.23,3.0,938.0,483.0,2.0,1.0,4.0,3.0,3.0,2.0,16.0,2.0,2.0,2.0,3.0,1.8708990112094217,0.0,0.0,1.0,3.0,4.0,4.0,4.17,Latin America,Mexico,playa-del-carmen-mexico,99.0,99.3000030517578,15.3941337927222
216.0,4.0,41.0,641.0,1.0,0.67,1.54,3.0,627.0,380.0,2.0,1.0,3.0,2.0,3.0,2.0,12.0,2.0,2.0,2.0,3.0,1.818970018797035,0.0,0.0,1.0,3.0,4.0,4.0,4.2,Latin America,Mexico,guadalajara-mexico,99.0,99.3000030517578,15.3941337927222
211.0,2.0,19.0,763.0,1.0,0.7,1.63,3.0,615.0,363.0,2.0,1.0,4.0,2.0,3.0,2.0,11.0,2.0,2.0,2.0,3.0,1.950083469250789,0.0,0.0,2.0,3.0,4.0,4.0,3.11,Latin America,Mexico,oaxaca-mexico,99.0,99.3000030517578,15.3941337927222
263.0,3.0,86.0,793.0,1.0,0.66,1.91,3.0,735.0,439.0,2.0,1.0,4.0,2.0,3.0,2.0,19.0,1.0,2.0,2.0,3.0,1.9358052266139152,0.0,0.0,1.0,3.0,4.0,4.0,3.75,Latin America,Mexico,monterrey-mexico,99.0,99.3000030517578,15.3941337927222
272.0,3.0,14.0,1403.0,1.0,0.56,0.7,3.0,784.0,358.0,2.0,1.0,2.0,4.0,3.0,2.0,14.0,2.0,1.0,2.0,3.0,1.5152240826750314,0.0,0.0,1.0,3.0,4.0,4.0,3.86,Latin America,Mexico,tijuana-mexico,99.0,99.3000030517578,15.3941337927222
290.0,2.0,34.0,1830.0,1.0,0.44,0.88,3.0,861.0,368.0,2.0,1.0,4.0,3.0,3.0,2.0,19.0,3.0,2.0,2.0,3.0,1.758076501112074,0.0,0.0,2.0,3.0,4.0,4.0,3.95,Latin America,Mexico,puerto-vallarta-mexico,99.0,99.3000030517578,15.3941337927222
527.0,2.0,13.0,1769.0,1.0,0.44,1.36,3.0,1034.0,599.0,2.0,1.0,4.0,2.0,3.0,2.0,19.0,2.0,2.0,2.0,3.0,2.058252603841563,0.0,0.0,2.0,3.0,4.0,4.0,3.88,Latin America,Mexico,san-miguel-de-allende-mexico,99.0,99.3000030517578,15.3941337927222
